county,city,state,zipCode,georeference,streetName,streetNumber
Kings,BROOKLYN,NY,11216,POINT (-73.95478 40.68777),BEDFORD AVE,1053
Saratoga,SARATOGA SPRINGS,NY,12866,POINT (-73.80334 43.07984),WEST AVE,80
Schenectady,SCHENECTADY,NY,12306,POINT (-73.98104 42.79003),DUANESBURG RD,378
Albany,ALBANY,NY,12211,POINT (-73.75545 42.71261),LOUDON RD,484
Erie,BUFFALO,NY,14225,POINT (-78.7557 42.92679),GENESEE ST,3500
New York,NEW YORK,NY,10036,POINT (-73.98863 40.75881),8TH AVE STE G4,700
Monroe,FAIRPORT,NY,14450,POINT (-77.4436 43.10017),FAIRPORT VILLAGE LANDING,102
Kings,BROOKLYN,NY,11218,POINT (-73.97657 40.631),18TH AVE,4317
Queens,RICHMOND HILL,NY,11418,POINT (-73.83617 40.69754),JAMAICA AVE,112-08
Monroe,ROCHESTER,NY,14624,POINT (-77.7093 43.12235),CHILI AVE,2709
Monroe,ROCHESTER,NY,14609,POINT (-77.57636 43.1884),N GOODMAN ST,1792
Bronx,BRONX,NY,10467,POINT (-73.86515 40.88017),WHITE PLAINS ROAD,3629
Queens,SOUTH RICHMOND HIL,NY,11419,POINT (-73.83482 40.68745),101ST AVENUE,108-19
Nassau,ROOSEVELT,NY,11575,POINT (-73.5933 40.68565),NASSAU RD,528
Broome,JOHNSON CITY,NY,13790,POINT (-75.95429 42.1148),MAIN ST,222
Queens,SOUTH OZONE PARK,NY,11420,POINT (-73.82056 40.67639),ROCKAWAY BLVD,117-10
Oswego,MEXICO,NY,13114,POINT (-76.23313 43.45975),MAIN ST,3318
Queens,WOODSIDE,NY,11377,POINT (-73.90338 40.74576),61ST ST,3958
Putnam,BREWSTER,NY,10509,POINT (-73.60034 41.3983),RT 22,1011
Monroe,ROCHESTER,NY,14616,POINT (-77.64589 43.25133),DEWEY AVE,4350
Queens,CORONA,NY,11368,POINT (-73.86014 40.74685),104TH ST,45-03
Livingston,LIVONIA,NY,14487,POINT (-77.67095 42.82287),MAIN ST,7
Monroe,SPENCERPORT,NY,14559,POINT (-77.75425 43.17827),SPENCERPORT RD,2371
Queens,JACKSON HEIGHTS,NY,11372,POINT (-73.88663 40.7495),37TH AVE,7901
Monroe,GATES,NY,14606,POINT (-77.69351 43.16581),SPENCERPORT RD,8
Bronx,BRONX,NY,10451,POINT (-73.91927 40.8181),E 151ST STREET,353
Saratoga,SCHUYLERVILLE,NY,12871,POINT (-73.60246 43.10819),ROUTE 29,1120
Kings,BROOKLYN,NY,11205,POINT (-73.96921 40.69311),MYRTLE AVE,414
Bronx,BRONX,NY,10473,POINT (-73.85865 40.81758),RANDALL AVE,1890
Dutchess,HOPEWELL JUNCTION,NY,12533,POINT (-73.77538 41.62454),RT 82,1563
Kings,BROOKLYN,NY,11215,POINT (-73.99443 40.66037),5TH AVENUE,721
Queens,JACKSON HEIGHTS,NY,11372,POINT (-73.88371 40.74765),ROOSEVELT AVENUE,82-02
Kings,BROOKLYN,NY,11226,POINT (-73.96294 40.64188),CORTELYOU RD,1624
Cattaraugus,OLEAN,NY,14760,POINT (-78.40261 42.07276),E STATE ST,1511
Niagara,NORTH TONAWANDA,NY,14120,POINT (-78.87509 43.02875),OLIVER ST,221
Queens,CORONA,NY,11368,POINT (-73.86838 40.75221),37TH AVE,98-18
Queens,FLUSHING,NY,11354,POINT (-73.82987 40.75905),MAIN ST,40-20
Kings,BROOKLYN,NY,11209,POINT (-74.02874 40.63635),RIDGE BLVD,6905
Kings,BROOKLYN,NY,11207,POINT (-73.89272 40.68038),JAMAICA AVE,200
Onondaga,SYRACUSE,NY,13210,POINT (-76.11963 43.04027),BEECH ST,742
Montgomery,FULTONVILLE,NY,12072,POINT (-74.35667 42.94823),RIVERSIDE DR,128
Queens,SOUTH OZONE PARK,NY,11420,POINT (-73.82751 40.67749),ROCKAWAY BLVD,111-01
Cayuga,AURORA,NY,13026,POINT (-76.70258 42.7545),MAIN ST,385
New York,NEW YORK,NY,10031,POINT (-73.9479 40.82537),WEST 145TH STREET,501
Ulster,KINGSTON,NY,12401,POINT (-73.98486 41.97201),FRANK SOTTILE BLVD,705
Erie,BUFFALO,NY,14207,POINT (-78.87831 42.95417),ELMWOOD AVE,2090
Bronx,BRONX,NY,10466,POINT (-73.8467 40.88832),LACONIA AVE,4141
Kings,BROOKLYN,NY,11236,POINT (-73.89871 40.6419),ROCKAWAY PKWY,1597
Suffolk,WEST BABYLON,NY,11704,POINT (-73.36004 40.70976),RT 109,328
New York,NEW YORK,NY,10021,POINT (-73.9556 40.76835),FIRST AVENUE,1359
New York,NEW YORK,NY,10026,POINT (-73.95552 40.80421),FREDERICK DOUGLASS BLVD,2142
Bronx,BRONX,NY,10468,POINT (-73.898 40.86675),JEROME AVE,2639
Herkimer,OLD FORGE,NY,13420,POINT (-74.97276 43.71022),FULTON ST,104
New York,NEW YORK,NY,10033,POINT (-73.93255 40.84882),W 181ST ST,540
Bronx,BRONX,NY,10460,POINT (-73.88747 40.84361),E TREMONT AVE,807
Kings,BROOKLYN,NY,11229,POINT (-73.95986 40.59845),AVENUE U,1206
Queens,EAST ELMHURST,NY,11369,POINT (-73.87418 40.75778),JUNCTION BLVD,32-29
Albany,ALBANY,NY,12204,POINT (-73.75045 42.67347),NORTHERN BLVD,351
Monroe,ROCHESTER,NY,14606,POINT (-77.64235 43.16463),LYELL AVE,505
New York,NEW YORK,NY,10029,POINT (-73.94138 40.79852),E 116TH ST,152
Kings,BROOKLYN,NY,11220,POINT (-74.0274 40.63614),BAY RIDGE AVE,242
Richmond,STATEN ISLAND,NY,10301,POINT (-74.10466 40.6307),FOREST AVE,450
Westchester,CHAPPAQUA,NY,10514,POINT (-73.7067 41.03081),THE CROSSING,20
Monroe,ROCHESTER,NY,14613,POINT (-77.63173 43.18022),LAKE AVE,817
Orange,CORNWALL,NY,12518,POINT (-74.0451 41.42316),ANGOLA RD,190
New York,NEW YORK,NY,10029,POINT (-73.94078 40.78993),E 106TH ST,318
Kings,BROOKLYN,NY,11211,POINT (-73.9531 40.7083),S 4TH ST,367
New York,NEW YORK,NY,10027,POINT (-73.94408 40.8072),WEST 125TH STREET,52
Franklin,MOIRA,NY,12957,POINT (-74.56231 44.81656),STATE RT 11,714
