county,city,state,zipCode,georeference,streetName,streetNumber
Wayne,WILLIAMSON,NY,14589,POINT (-77.19454 43.23266),RT 104 PO BOX 181,3906
Kings,BROOKLYN,NY,11231,POINT (-73.9993 40.67315),HAMILTON AVE,375
Rockland,PEARL RIVER,NY,10965,POINT (-74.02156 41.06017),N MAIN ST,27
Monroe,WEBSTER,NY,14580,POINT (-77.5073 43.18276),PLANK RD,480
Kings,BROOKLYN,NY,11201,POINT (-73.99367 40.69004),ATLANTIC AVE,174
Suffolk,COMMACK,NY,11725,POINT (-73.28355 40.84025),VETERANS MEMORIAL HWY,120
Queens,ASTORIA,NY,11102,POINT (-73.92165 40.76701),30TH AVE,30-21
Bronx,BRONX,NY,10453,POINT (-73.90457 40.85731),JEROME AVE,2207
Bronx,BRONX,NY,10453,POINT (-73.90765 40.85087),E TREMONT AVE,66
Kings,BROOKLYN,NY,11215,POINT (-73.9855 40.67014),5TH AVE,409
Kings,BROOKLYN,NY,11207,POINT (-73.89972 40.6687),SUTTER AVENUE,516
Kings,BROOKLYN,NY,11222,POINT (-73.94129 40.72347),KINGSLAND AVE,194
Kings,BROOKLYN,NY,11214,POINT (-74.00416 40.60582),18TH AVE,8671
Suffolk,HAMPTON BAYS,NY,11946,POINT (-72.52569 40.8775),W MONTAUK HWY,53
Queens,FLUSHING,NY,11354,POINT (-73.82992 40.75963),ROOSEVELT AVE,1364
Oswego,FULTON,NY,13069,POINT (-76.41719 43.31456),W 1ST ST S,368
Bronx,BRONX,NY,10457,POINT (-73.90865 40.84479),E 174TH ST,180
Queens,JAMAICA,NY,11432,POINT (-73.80649 40.7122),PARSONS BLVD,84-77
Richmond,STATEN ISLAND,NY,10303,POINT (-74.17154 40.64047),RICHMOND TER,3400
Queens,CORONA,NY,11368,POINT (-73.85842 40.75012),108TH STREET,40-20
Queens,ELMHURST,NY,11373,POINT (-73.88494 40.74389),BROADWAY,80-03
Suffolk,PORT JEFFERSON,NY,11777,POINT (-73.06886 40.94614),MAIN ST PO BOX J-H DAMIANOS,117
Saratoga,BALLSTON SPA,NY,12020,POINT (-73.84945 43.00778),MILTON AVE,253
Bronx,BRONX,NY,10460,POINT (-73.88413 40.84197),E. TREMONT AVE.,900
Nassau,POINT LOOKOUT,NY,11569,POINT (-73.58349 40.59211),LIDO BLVD,12
Niagara,NIAGARA FALLS,NY,14304,POINT (-78.97063 43.09036),MILITARY RD,1306
Wayne,NEWARK,NY,14513,POINT (-77.09604 43.03943),S MAIN ST  3333,703
Queens,LONG ISLAND CITY,NY,11105,POINT (-73.93149 40.75446),31ST STREET,22-58
New York,NEW YORK,NY,10040,POINT (-73.92538 40.86258),DYCKMAN ST,130
Kings,BROOKLYN,NY,11234,POINT (-73.92616 40.61899),AVENUE N,5017
Queens,JAMAICA,NY,11435,POINT (-73.80781 40.70091),SUTPHIN BLVD,91-08
New York,NEW YORK,NY,10037,POINT (-73.93921 40.81648),LENOX AVENUE,561
Queens,JAMAICA,NY,11435,POINT (-73.80951 40.70537),SUTPHIN BLVD,8768
Monroe,ROCHESTER,NY,14609,POINT (-77.58125 43.17097),BAY STREET,469
Richmond,STATEN ISLAND,NY,10312,POINT (-74.16395 40.52829),HYLAN BLVD,4727
Richmond,STATEN ISLAND,NY,10304,POINT (-74.08043 40.62433),BROAD STREET,171
Nassau,NEW HYDE PARK,NY,11040,POINT (-73.66398 40.74057),JERICHO TNPK,2282
Oneida,BOONVILLE,NY,13309,POINT (-75.32671 43.4797),PARK AVE,106
Suffolk,WEST BABYLON,NY,11704,POINT (-73.35926 40.72339),LITTLE EAST NECK RD N,1012
Kings,BROOKLYN,NY,11214,POINT (-73.99517 40.60754),20TH AVENUE,8022
Queens,SAINT ALBANS,NY,11412,POINT (-73.75069 40.69489),LINDEN BLVD,201-15
Erie,BUFFALO,NY,14214,POINT (-78.84978 42.92765),KENSINGTON AVE,45
Nassau,MASSAPEQUA PARK,NY,11762,POINT (-73.44696 40.66632),MERRICK RD,5125
Oswego,PHOENIX,NY,13135,POINT (-76.28525 43.2166),COUNTY RTE 57,219
Richmond,STATEN ISLAND,NY,10305,POINT (-74.06822 40.59747),MCCLEAN AVE,183A
Nassau,NEW HYDE PARK,NY,11042,POINT (-73.68841 40.75518),NEW HYDE PARK RD,2201
Kings,BROOKLYN,NY,11231,POINT (-74.01009 40.67515),DWIGHT STREET,129
Oneida,SHERRILL,NY,13461,POINT (-75.59834 43.07603),W SENECA ST PO BOX 6,566
Hamilton,LONG LAKE,NY,12847,POINT (-74.41805 43.96859),RT 28N,8589
St. Lawrence,WADDINGTON,NY,13694,POINT (-75.21744 44.8572),NY RTE 37,11997
Queens,RICHMOND HILL,NY,11418,POINT (-73.82648 40.70082),JAMAICA AVENUE,123-25
Kings,BROOKLYN,NY,11221,POINT (-73.92613 40.69182),BROADWAY,1225
Jefferson,CLAYTON,NY,13624,POINT (-76.04932 44.24908),NYS RT 12,40164
Suffolk,SOUTHAMPTON,NY,11968,POINT (-72.41184 40.91922),NORTH SEA ROAD,1282
Queens,EAST ELMHURST,NY,11369,POINT (-73.8761 40.76306),20 ASTORIA BLVD,93-04
Erie,BUFFALO,NY,14208,POINT (-78.854 42.91922),JEFFERSON AVE,1614-1616
Dutchess,HOPEWELL JUNCTION,NY,12533,POINT (-73.78271 41.55538),ROUTE 52,2612
Erie,BUFFALO,NY,14211,POINT (-78.82017 42.91006),GENESEE ST,1635
Erie,BUFFALO,NY,14218,POINT (-78.848 42.81986),HAMBURG TPKE,2368
Bronx,BRONX,NY,10466,POINT (-73.85716 40.89377),WHITE PLAINS RD,4206
Suffolk,AMITYVILLE,NY,11701,POINT (-73.41286 40.6883),SUNRISE HWY,215
Kings,BROOKLYN,NY,11226,POINT (-73.96126 40.65513),PARKSIDE AVE,191-199
Kings,BROOKLYN,NY,11233,POINT (-73.92299 40.68432),RALPH AVE,165
Nassau,BELLMORE,NY,11710,POINT (-73.54093 40.68629),NEWBRIDGE RD,1377A
Onondaga,SYRACUSE,NY,13211,POINT (-76.14699 43.10727),BREWERTON RD,2803
Monroe,ROCHESTER,NY,14612,POINT (-77.62529 43.22756),BOXART ST. SUITE 118,100
Kings,BROOKLYN,NY,11234,POINT (-73.93769 40.61973),FLATLANDS AVE,3846
Kings,BROOKLYN,NY,11235,POINT (-73.93284 40.58418),EMMONS AVE,3191
Kings,BROOKLYN,NY,11218,POINT (-73.97575 40.63579),DITMAS AVE.,304
Bronx,BRONX,NY,10455,POINT (-73.91068 40.81908),SAINT ANNS AVENUE,740
Jefferson,THREE MILE BAY,NY,13693,POINT (-76.26727 43.98321),S SHORE RD,21272
Richmond,STATEN ISLAND,NY,10306,POINT (-74.10797 40.57901),LINCOLN AVE,134
Tompkins,ITHACA,NY,14850,POINT (-76.50716 42.43659),W CLINTON ST,625
Albany,ALTAMONT,NY,12009,POINT (-73.97572 42.6561),ALTAMONT RD,342
Niagara,NORTH TONAWANDA,NY,14120,POINT (-78.8394 43.05971),NIAGARA FALLS BLVD,886
Ulster,PORT EWEN,NY,12466,POINT (-73.97769 41.9098),BROADWAY US 9W,130
Dutchess,POUGHKEEPSIE,NY,12601,POINT (-73.93232 41.72611),NORTH RD,3350
Broome,PORT CRANE,NY,13833,POINT (-75.77071 42.1616),ST RT 7,781
Nassau,WESTBURY,NY,11590,POINT (-73.5763 40.77165),JERICHO TPKE,800
Richmond,STATEN ISLAND,NY,10302,POINT (-74.13481 40.62572),FOREST AVE,1361
Queens,FLUSHING,NY,11367,POINT (-73.81315 40.71884),UNION TPKE,149-17
Kings,BROOKLYN,NY,11223,POINT (-73.98632 40.60239),STILLWELL AVENUE,1806
Dutchess,WAPPINGERS FALLS,NY,12590,POINT (-73.96755 41.52565),ROUTE 9D,1444
Suffolk,BRIDGEHAMPTON,NY,11932,POINT (-72.30769 40.94003),MAPLE LANE,112
Westchester,YONKERS,NY,10701,POINT (-73.89164 40.92916),WILLOW ST,182
Nassau,W HEMPSTEAD,NY,11552,POINT (-73.65801 40.70576),HEMPSTEAD TPKE,496
Kings,BROOKLYN,NY,11226,POINT (-73.9595 40.6538),FLATBUSH AVE,780
Warren,SILVER BAY,NY,12874,POINT (-73.50533 43.70446),LAKESHORE DRIVE,8417
Schoharie,COBLESKILL,NY,12043,POINT (-74.47312 42.68076),E MAIN ST,813
Dutchess,HYDE PARK,NY,12538,POINT (-73.90905 41.77249),VIOLET AVE,874
Sullivan,MONTICELLO,NY,12701,POINT (-74.67471 41.66729),ROUTE 42,4375
Niagara,LOCKPORT,NY,14094,POINT (-78.69654 43.16505),S TRANSIT RD,100
Rensselaer,TROY,NY,12180,POINT (-73.67616 42.77035),112TH ST,28
Onondaga,SYRACUSE,NY,13208,POINT (-76.14548 43.06092),BUTTERNUT STREET,737
Monroe,BROCKPORT,NY,14420,POINT (-77.94042 43.19836),BROCKPORT-SPENCERPORT RD,6515
Kings,BROOKLYN,NY,11220,POINT (-74.00934 40.64604),5TH AVENUE,4805
Westchester,PLEASANTVILLE,NY,10570,POINT (-73.79498 41.13295),PLEASANTVILLE RD,35
Niagara,SANBORN,NY,14132,POINT (-78.88598 43.14373),SAUNDERS SETTLEMENT RD,2929
Bronx,BRONX,NY,10459,POINT (-73.88762 40.82934),FREEMAN STREET,1001
Richmond,STATEN ISLAND,NY,10305,POINT (-74.0648 40.61228),BAY ST,1277
Queens,MASPETH,NY,11378,POINT (-73.90116 40.72299),GRAND AVE,64-15
Bronx,BRONX,NY,10469,POINT (-73.85024 40.87571),BOSTON ROAD,3401
Kings,BROOKLYN,NY,11223,POINT (-73.96124 40.59894),CONEY ISLAND AVE,2382
Bronx,BRONX,NY,10462,POINT (-73.85861 40.83927),METROPOLITAN AVE,1508
Suffolk,EAST ISLIP,NY,11730,POINT (-73.19266 40.74124),CARLETON AVE,239
Ulster,NEW PALTZ,NY,12561,POINT (-74.05668 41.74064),MAIN ST,490
Columbia,OLD CHATHAM,NY,12136,POINT (-73.55543 42.38826),RT 295,601
Queens,EAST ELMHURST,NY,11369,POINT (-73.86657 40.7616),ASTORIA BLVD,102-15
Queens,JAMAICA,NY,11436,POINT (-73.78881 40.67003),150TH ST,128-48
Dutchess,WINGDALE,NY,12594,POINT (-73.56355 41.6489),ROUTE 22,1815
Erie,BUFFALO,NY,14217,POINT (-78.88546 42.9586),KENMORE AVE,1817
Queens,FLUSHING,NY,11367,POINT (-73.81473 40.7184),UNION TPKE,147-13
Kings,BROOKLYN,NY,11228,POINT (-74.00962 40.61819),13TH AVE.,7818
Niagara,LEWISTON,NY,14092,POINT (-79.0406 43.1727),CENTER ST,533
Rensselaer,NORTH GREENBUSH,NY,12144,POINT (-73.69773 42.64645),N GREENBUSH ROAD,600
Columbia,HUDSON,NY,12534,POINT (-73.74369 42.25643),FISH & GAME ROAD,28
Queens,REGO PARK,NY,11374,POINT (-73.85954 40.72575),AUSTIN ST.,65-33
Oneida,ROME,NY,13440,POINT (-75.46966 43.277),TURIN RD,8585
Nassau,GARDEN CITY,NY,11530,POINT (-73.63547 40.72499),7TH ST,153
Queens,BAYSIDE (QUEENS),NY,11361,POINT (-73.77819 40.75802),20 NORTHERN BLVD,212
Suffolk,MONTAUK,NY,11954,POINT (-71.94217 41.03595),MONTAUK HIGHWAY UNIT 1,805
Nassau,VALLEY STREAM,NY,11580,POINT (-73.7141 40.68316),N CENTRAL AVE,1805
Saratoga,CLIFTON PARK,NY,12065,POINT (-73.78151 42.85965),CLIFTON COUNTRY RD,9
Schuyler,WATKINS GLEN,NY,14891,POINT (-76.86724 42.36899),1/2 S FRANKLIN ST,501
Broome,BINGHAMTON,NY,13901,POINT (-75.90531 42.10723),STATE ST STE 3,435
Kings,BROOKLYN,NY,11204,POINT (-73.99265 40.61692),BAY RIDGE AVE,1787
Nassau,ISLAND PARK,NY,11558,POINT (-73.65327 40.60141),AUSTIN BLVD,4451
Westchester,SHRUB OAK,NY,10588,POINT (-73.83716 41.32687),E MAIN ST,1366
Broome,JOHNSON CITY,NY,13790,POINT (-75.96509 42.12268),HARRY L DR,420A
Suffolk,CENTEREACH,NY,11720,POINT (-73.09787 40.88827),NESCONSET HWY,3117
Kings,BROOKLYN,NY,11203,POINT (-73.93719 40.66348),TROY AVENUE,436-438
Cattaraugus,OLEAN,NY,14760,POINT (-78.42999 42.08439),N UNION ST,461
Orange,MIDDLETOWN,NY,10940,POINT (-74.36509 41.45319),GALLERIA DR BOX 40,1
Albany,ALBANY,NY,12208,POINT (-73.78913 42.6647),MADISON AVE,1026
Albany,DELMAR,NY,12054,POINT (-73.85206 42.61512),DELAWARE AVE,624
Onondaga,SYRACUSE,NY,13208,POINT (-76.14262 43.07238),BUTTERNUT STREET,1429
Oswego,CENTRAL SQUARE,NY,13036,POINT (-76.13003 43.2871),EAST AVE,3035
Queens,JAMAICA,NY,11433,POINT (-73.79068 40.68816),157TH STREET,111-77
Kings,BROOKLYN,NY,11221,POINT (-73.93889 40.68603),MADISON ST,480
Oneida,UTICA,NY,13502,POINT (-75.22702 43.1225),RIVER RD,400
Schoharie,JEFFERSON,NY,12093,POINT (-74.61059 42.48133),MAIN ST.,170
Bronx,BRONX,NY,10456,POINT (-73.91617 40.83586),GRAND CONCOURSE,1266
Monroe,CHURCHVILLE,NY,14428,POINT (-77.89823 43.10111),BUFFALO RD,7127
Kings,BROOKLYN,NY,11216,POINT (-73.94973 40.67799),NOSTRAND AVE,565
Nassau,WOODMERE,NY,11598,POINT (-73.70997 40.63459),RAILROAD AVE,1030
Ulster,ROSENDALE,NY,12472,POINT (-74.0753 41.84829),ROUTE 32,1149
Nassau,SYOSSET,NY,11791,POINT (-73.5173 40.79887),ROBBINS LANE,235
Fulton,BROADALBIN,NY,12025,POINT (-74.19725 43.06037),N MAIN ST,49
Suffolk,QUOGUE,NY,11959,POINT (-72.60833 40.81684),JESSUP AVE,140
Rensselaer,NASSAU,NY,12123,POINT (-73.61828 42.51768),US RT 20,3517
Queens,WOODSIDE,NY,11377,POINT (-73.91833 40.73549),48TH ST,50-60
Queens,LONG ISLAND CITY,NY,11101,POINT (-73.9406 40.75053),QUEENS PLAZA SOUTH,2502
Clinton,PERU,NY,12972,POINT (-73.52449 44.5775),GORMAN WAY,3
Erie,EAST AURORA,NY,14052,POINT (-78.62958 42.76827),ERNST PLACE,5
Richmond,STATEN ISLAND,NY,10314,POINT (-74.14651 40.61026),VICTORY BLVD,2500
Bronx,BRONX,NY,10474,POINT (-73.88655 40.81478),FAILE STREET,706
Queens,JAMAICA,NY,11434,POINT (-73.76326 40.68045),MERRICK BLVD,129-32B
Queens,CORONA,NY,11368,POINT (-73.86077 40.74778),43RD AVENUE,102-60
Nassau,HEMPSTEAD,NY,11550,POINT (-73.6044 40.70939),FRONT ST,755
Bronx,BRONX,NY,10471,POINT (-73.90372 40.90838),RIVERDALE AVE,5995
Queens,CORONA,NY,11368,POINT (-73.86784 40.74569),43RD AVE,96-06
New York,NEW YORK,NY,10024,POINT (-73.97432 40.79132),BROADWAY,2451
Bronx,BRONX,NY,10466,POINT (-73.855 40.89764),WHITE PLAINS RD,4366
Bronx,BRONX,NY,10457,POINT (-73.88937 40.85171),E 182ND STREET,611
Kings,BROOKLYN,NY,11206,POINT (-73.94048 40.69861),PARK AVE,861
Montgomery,FORT PLAIN,NY,13339,POINT (-74.62496 42.93018),MAIN ST,95
Queens,JACKSON HEIGHTS,NY,11372,POINT (-73.89409 40.74784),BROADWAY,70-60
Monroe,ROCHESTER,NY,14615,POINT (-77.62942 43.19345),LAKE AVE,1469
Kings,BROOKLYN,NY,11214,POINT (-73.99934 40.61009),18TH AVENUE,8019
Suffolk,BABYLON,NY,11702,POINT (-73.32439 40.69623),W MAIN ST,68
Westchester,YONKERS,NY,10704,POINT (-73.86981 40.92729),YONKERS AVE,585
Monroe,ROCHESTER,NY,14621,POINT (-77.6 43.19354),HUDSON AVE,1490
Kings,BROOKLYN,NY,11209,POINT (-74.02103 40.63338),5TH AVENUE,6902
Erie,BUFFALO,NY,14216,POINT (-78.85504 42.94772),HERTEL AVE,1438
Kings,BROOKLYN,NY,11232,POINT (-74.00358 40.65521),4TH AVE,926
Saratoga,BALLSTON SPA,NY,12020,POINT (-73.79242 43.02611),RT 9,2951
Kings,BROOKLYN,NY,11210,POINT (-73.94637 40.63161),FLATBUSH AVE,1598
Westchester,YONKERS,NY,10705,POINT (-73.88996 40.91546),MCLEAN AVE,165
Queens,CORONA,NY,11368,POINT (-73.86926 40.75725),NORTHERN BLVD,9903
Albany,ALBANY,NY,12205,POINT (-73.81745 42.70264),FULLER RD,10
Kings,BROOKLYN,NY,11220,POINT (-73.97493 40.67526),7TH AVENUE,6418
Kings,BROOKLYN,NY,11211,POINT (-73.96264 40.70817),DRIGGS ST,901
Schenectady,SCHENECTADY,NY,12303,POINT (-73.94704 42.79778),CRANE ST,1054
Bronx,BRONX,NY,10468,POINT (-73.88907 40.87314),E. BEDFORD PARK BLVD  17,15
Kings,BROOKLYN,NY,11214,POINT (-74.00014 40.61513),NEW UTRECHT AVE,7523
Oswego,PULASKI,NY,13142,POINT (-76.12652 43.5623),SALINA STREET,4764
Suffolk,COPIAGUE,NY,11726,POINT (-73.40088 40.68442),GREAT NECK RD,2290
Kings,BROOKLYN,NY,11218,POINT (-73.96928 40.64093),CONEY ISLAND AVE,675
Dutchess,HYDE PARK,NY,12538,POINT (-73.91364 41.78406),VIOLET AVE,1049
Orange,MIDDLETOWN,NY,10940,POINT (-74.39646 41.45435),LLOYDS LANE,20
Erie,BUFFALO,NY,14213,POINT (-78.89186 42.90824),PLYMOUTH AVE,407
Kings,BROOKLYN,NY,11213,POINT (-73.93632 40.6728),TROY AVENUE,187
Kings,BROOKLYN,NY,11222,POINT (-73.9518 40.73165),MCGUINNESS BLVD,276
Suffolk,FORT SALONGA,NY,11768,POINT (-73.35516 40.88883),FORT SALONGA RD SUITE 15,10
Queens,JAMAICA,NY,11435,POINT (-73.81255 40.70489),HILLSIDE AVE,143-01
Nassau,FREEPORT,NY,11520,POINT (-73.58253 40.65661),S MAIN ST,23
Kings,BROOKLYN,NY,11219,POINT (-73.99966 40.63702),FT HAMILTON PKWY,5122
Kings,BROOKLYN,NY,11214,POINT (-74.00223 40.5998),CROPSEY AVE,2024
Queens,ELMHURST,NY,11373,POINT (-73.87132 40.74428),43RD AVENUE,93-34
Schenectady,SCHENECTADY,NY,12309,POINT (-73.82503 42.77366),TROY-SCHENECTADY ROAD,3159
Oswego,FULTON,NY,13069,POINT (-76.49925 43.32399),RT 3 W,800
Suffolk,HAMPTON BAYS,NY,11946,POINT (-72.53744 40.87374),WEST MONTAUK HWY,194
New York,NEW YORK,NY,10026,POINT (-73.95186 40.79917),MALCOLM X BLVD,29
Queens,RIDGEWOOD,NY,11385,POINT (-73.90903 40.69839),WYCKOFF AVENUE,793
Jefferson,ADAMS,NY,13605,POINT (-76.02267 43.82072),NYS RT 11,10546
Erie,TONAWANDA,NY,14150,POINT (-78.83624 43.01483),ELLICOTT CREEK RD,960
Bronx,BRONX,NY,10459,POINT (-73.89289 40.81955),SOUTHERN BLVD,900
Kings,BROOKLYN,NY,11215,POINT (-73.98118 40.65945),PROSPECT PARK WEST,236
Queens,SOUTH RICHMOND HIL,NY,11419,POINT (-73.82918 40.69366),ATLANTIC AVE,117-12
New York,NEW YORK,NY,10032,POINT (-73.94635 40.83826),RIVERSIDE DRIVE STORE  3,900
Kings,BROOKLYN,NY,11209,POINT (-74.02463 40.62463),5TH AVENUE,8118
Kings,BROOKLYN,NY,11226,POINT (-73.94969 40.65189),NOSTRAND AVE,1415
Queens,FLUSHING,NY,11358,POINT (-73.80008 40.75964),NORTHERN BLVD,166-01
Queens,FOREST HILLS,NY,11375,POINT (-73.84919 40.73211),108TH STREET,64-36
Kings,BROOKLYN,NY,11232,POINT (-73.99612 40.65874),5TH AVE,755
Madison,MORRISVILLE,NY,13408,POINT (-75.64473 42.89886),E MAIN ST,20
St. Lawrence,HANNAWA FALLS,NY,13647,POINT (-74.97188 44.61189),STATE HIGHWAY 56,5853
Queens,MASPETH,NY,11378,POINT (-73.89272 40.72753),GRAND AVE,7007
Saratoga,SARATOGA SPRINGS,NY,12866,POINT (-73.74497 43.09721),WEIBEL AVE,95
Bronx,BRONX,NY,10455,POINT (-73.90377 40.81223),A SOUTHERN BLVD,545
Cayuga,AUBURN,NY,13021,POINT (-76.54489 42.95348),GRANT AVE,297
Queens,WOODSIDE,NY,11377,POINT (-73.90161 40.75384),NORTHERN BLVD,60-11
Kings,BROOKLYN,NY,11215,POINT (-73.97897 40.66563),9TH STREET,511
Queens,FAR ROCKAWAY,NY,11691,POINT (-73.75373 40.60084),BEACH 20TH ST,601
New York,NEW YORK,NY,10035,POINT (-73.93707 40.80674),E 128 ST,104
Albany,ALBANY,NY,12210,POINT (-73.7625 42.66145),CLINTON AVE,365
New York,NEW YORK,NY,10010,POINT (-73.98608 40.74007),107 E 23RD ST,105
St. Lawrence,NICHOLVILLE,NY,12965,POINT (-74.66259 44.6939),RIVER ST,5
Warren,NORTH CREEK,NY,12853,POINT (-73.97542 43.68323),ROUTE 28,3235
Sullivan,MONTICELLO,NY,12701,POINT (-74.68353 41.64232),COLD SPRING RD.,82
Chenango,NORWICH,NY,13815,POINT (-75.52303 42.51512),STATE HWY 12,5631
Kings,BROOKLYN,NY,11206,POINT (-73.94406 40.70047),FLUSHING AVE,711
Onondaga,SYRACUSE,NY,13210,POINT (-76.11933 43.04121),WESTCOTT ST,507
Westchester,MOUNT VERNON,NY,10550,POINT (-73.83742 40.9157),GRAMATON AVE,203
Westchester,WHITE PLAINS,NY,10603,POINT (-73.76557 41.05446),NORTH BROADWAY,670
Dutchess,POUGHKEEPSIE,NY,12601,POINT (-73.92013 41.71215),N HAMILTON ST,185
Queens,BAYSIDE,NY,11361,POINT (-73.77383 40.76911),BELL BLVD,34-51
Schenectady,SCHENECTADY,NY,12303,POINT (-73.94293 42.78623),ALTAMONT AVE,1320
New York,NEW YORK,NY,10065,POINT (-73.96229 40.76341),2ND AVE,1208
New York,NEW YORK,NY,10038,POINT (-73.99872 40.71202),JAMES STREET,37
Westchester,YONKERS,NY,10704,POINT (-73.86469 40.90282),MCLEAN AVE,994
Queens,ELMHURST,NY,11373,POINT (-73.88476 40.73838),QUEENS BLVD,78-21
New York,NEW YORK,NY,10029,POINT (-73.9418 40.79838),LEXINGTON AVE,1870
New York,NEW YORK,NY,10027,POINT (-73.94621 40.81173),ADAM CL POW JR BLVD,2185
Bronx,BRONX,NY,10451,POINT (-73.9222 40.8187),MORRIS AVENUE,602
Bronx,BRONX,NY,10456,POINT (-73.91043 40.83084),WEBSTER AVE,1170
Wayne,WALWORTH,NY,14568,POINT (-77.27252 43.13902),PENFIELD WALWORTH RD,2166
Erie,BUFFALO,NY,14217,POINT (-78.87875 42.96307),ELMWOOD AVE,2412
Erie,ANGOLA,NY,14006,POINT (-79.07249 42.6385),LAKE SHORE RD,9155
New York,NEW YORK,NY,10022,POINT (-73.97209 40.75687),LEXINGTON @ 51ST ST,569
Bronx,BRONX,NY,10454,POINT (-73.92158 40.80856),E 138TH STREET,430
Kings,BROOKLYN,NY,11226,POINT (-73.95626 40.65476),BEDFORD AVE,2036
Queens,CORONA,NY,11368,POINT (-73.86376 40.74677),NATIONAL ST,43-03
Kings,BROOKLYN,NY,11211,POINT (-73.94652 40.71706),MANHATTAN AVE,380
Albany,ALBANY,NY,12206,POINT (-73.77428 42.66789),ONTARIO ST,106
Suffolk,PORT JEFFERSON STA,NY,11776,POINT (-73.04596 40.92363),ROUTE 112,1029
Nassau,OCEANSIDE,NY,11572,POINT (-73.65257 40.61932),HAMPTON RD,3705
Monroe,ROCHESTER,NY,14615,POINT (-77.6391 43.19318),DEWEY AVE,1431
Kings,BROOKLYN,NY,11236,POINT (-73.89006 40.63411),ROCKAWAY PKWY,2000
Bronx,BRONX,NY,10474,POINT (-73.88929 40.8188),HUNTS POINT AVE,870-888
Dutchess,WAPPINGERS FALLS,NY,12590,POINT (-73.91211 41.60351),RT 9,1671
Suffolk,YAPHANK,NY,11980,POINT (-72.89857 40.8473),BOULEVARD EAST,901
Broome,ENDWELL,NY,13760,POINT (-76.01788 42.11682),HOOPER RD,511
Kings,BROOKLYN,NY,11215,POINT (-73.99251 40.66571),4TH AVE,575
Erie,LACKAWANNA,NY,14218,POINT (-78.80536 42.83108),ABBOTT RD,1233
Bronx,BRONX,NY,10458,POINT (-73.89247 40.85576),E 184TH ST,480
New York,NEW YORK,NY,10025,POINT (-73.97059 40.79376),AMSTERDAM AVE,733
Bronx,BRONX,NY,10475,POINT (-73.82671 40.88474),CONNER ST,3500
Rockland,BARDONIA,NY,10954,POINT (-73.99704 41.1043),RT 304,176
Wyoming,PERRY,NY,14530,POINT (-78.00202 42.71854),N MAIN STREET,1
Erie,BUFFALO,NY,14212,POINT (-78.83416 42.89409),BROADWAY SUITE 8,1105
Westchester,YONKERS,NY,10701,POINT (-73.90262 40.9283),HERRIOT ST,139
Saratoga,BALLSTON SPA,NY,12020,POINT (-73.8503 43.01066),SOUTH ST,2
Queens,RICHMOND HILL,NY,11418,POINT (-73.82039 40.70214),JAMAICA AVE,13202
Bronx,BRONX,NY,10452,POINT (-73.92271 40.84143),NELSON AVENUE,1384
Richmond,STATEN ISLAND,NY,10305,POINT (-74.07872 40.5791),OCEANSIDE AVE,643
New York,NEW YORK,NY,10030,POINT (-73.93932 40.82118),7TH AVE,2487
New York,NEW YORK,NY,10025,POINT (-73.97101 40.79317),AMSTERDAM AVE,714
Kings,BROOKLYN,NY,11226,POINT (-73.94939 40.6451),BEVERLY RD,2919
Kings,BROOKLYN,NY,11216,POINT (-73.94926 40.68037),FULTON ST,1299
Bronx,BRONX,NY,10469,POINT (-73.84931 40.87144),BURKE AVENUE,1277D
New York,NEW YORK,NY,10065,POINT (-73.95954 40.76297),1ST AVE,1187
Suffolk,LINDENHURST,NY,11757,POINT (-73.40331 40.71742),ROUTE 109,1200
Monroe,ROCHESTER,NY,14609,POINT (-77.56679 43.18457),WARING RD,338
Nassau,SEAFORD,NY,11783,POINT (-73.48383 40.67503),SUNRISE HWY,4034
Queens,MASPETH,NY,11378,POINT (-73.92195 40.72132),48TH ST,57-03
Schenectady,SCHENECTADY,NY,12307,POINT (-73.9359 42.80663),ALBANY ST,807
Erie,BUFFALO,NY,14216,POINT (-78.86885 42.95111),DELAWARE AVE,2458
Queens,ELMHURST,NY,11373,POINT (-73.87454 40.73454),QUEENS BLVD,89-02
Nassau,FRANKLIN SQUARE,NY,11010,POINT (-73.66344 40.70662),HEMPSTEAD TPK,652
Cortland,CORTLAND,NY,13045,POINT (-76.16236 42.59844),PORT WATSON ST,219
Oneida,UTICA,NY,13501,POINT (-75.24262 43.09531),ONEIDA ST,1321
Kings,BROOKLYN,NY,11214,POINT (-73.98601 40.59721),86TH ST  54,2532
Monroe,ROCHESTER,NY,14624,POINT (-77.72598 43.14053),TREBOLD ROAD,175
Sullivan,KIAMESHA LAKE,NY,12751,POINT (-74.6671 41.68136),ST RT 42,4607
Kings,BROOKLYN,NY,11217,POINT (-73.98223 40.68308),3RD AVENUE  2,103
Kings,BROOKLYN,NY,11213,POINT (-73.94233 40.67119),ST JOHNS PLACE,1088
Chautauqua,MAYVILLE,NY,14757,POINT (-79.50313 42.2528),S ERIE ST,64
Bronx,BRONX,NY,10458,POINT (-73.88717 40.85951),E FORDHAM RD,532
Kings,BROOKLYN,NY,11222,POINT (-73.93805 40.72067),MORGAN AVE,473
Suffolk,CORAM,NY,11727,POINT (-72.97863 40.87459),MIDDLE COUNTRY RD,33
New York,NEW YORK,NY,10002,POINT (-73.98833 40.7183),ESSEX STREET  ESSEX MARKET STA,88
